Location	S000001	S000002	S000003	S000004	S000005	S000006	S000007	S000008	S000009	S000010	S000011	S000012	S000013	S000014	S000015	S000016	S000017	S000018	S000019	S000020	S000021	S000022	S000023	S000024	S000025	S000026	S000027	S000028	S000029	S000030	S000031	S000032	S000033	S000034	S000035	S000036	S000037	S000038	S000039	S000040	S000041	S000042	S000043	S000044	S000045	S000046	S000047	S000048	S000049	S000050	S000051	S000052	S000053	S000054	S000056	S000057	S000058	S000059	S000060	S000061	S000062	S000063	S000064	S000065	S000066	S000067	S000069	S000070	S000071	S000072	S000073	S000074	S000075	S000076	S000077	S000078	S000079	S000080	S000081	S000082	S000083	S000084	S000085	S000086	S000087	S000088	S000089	S000090	S000091	S000092	S000093	S000094	S000095	S000096	S000097	S000098	S000099
#ENSG00000091831.25, +
chr6_151804430_151805821	0.944	NAN	NAN	0.812	0.892	NAN	NAN	NAN	0.933	0.47	NAN	NAN	NAN	0.938	0.818	0.839	0.949	0.86	0.818	NAN	0.692	NAN	NAN	0.966	NAN	NAN	NAN	0.25	0.857	NAN	0.885	0.88	0.5	0.955	NAN	0.938	NAN	0.951	NAN	NAN	0.971	0.898	NAN	NAN	0.65	NAN	0.938	0.933	NAN	0.903	0.903	NAN	0.81	NAN	NAN	0.872	NAN	0.711	NAN	NAN	NAN	0.881	0.667	NAN	0.898	NAN	NAN	0.947	NAN	0.882	NAN	0.812	0.935	NAN	0.733	0.75	0.97	NAN	0.786	1.0	0.72	0.727	NAN	NAN	NAN	NAN	NAN	NAN	1.0	NAN	0.5	NAN	NAN	NAN	0.923	NAN	NAN
chr6_151807318_151807510	0.077	NAN	NAN	0.086	0.108	NAN	NAN	NAN	0.115	0.078	NAN	NAN	NAN	0.238	0.236	0.114	0.103	0.254	0.267	NAN	0.235	NAN	NAN	0.0	NAN	NAN	NAN	0.077	0.125	NAN	0.037	0.138	0.0	0.267	NAN	0.158	NAN	0.09	NAN	NAN	0.054	0.183	NAN	NAN	0.2	NAN	0.059	0.167	NAN	0.114	0.114	NAN	0.16	NAN	NAN	0.16	0.308	0.165	NAN	NAN	NAN	0.224	0.0	NAN	0.039	NAN	NAN	0.103	NAN	0.15	NAN	0.111	0.088	NAN	0.464	0.238	0.108	NAN	0.176	0.056	0.074	0.353	0.273	NAN	NAN	NAN	NAN	0.231	0.143	0.286	0.644	NAN	NAN	NAN	0.071	NAN	NAN
chr6_151807678_151808365	1.0	1.0	1.0	1.0	1.0	NAN	1.0	1.0	1.0	0.996	1.0	NAN	1.0	1.0	1.0	1.0	1.0	1.0	1.0	NAN	1.0	1.0	1.0	1.0	1.0	NAN	NAN	1.0	1.0	NAN	1.0	1.0	1.0	1.0	NAN	1.0	1.0	1.0	NAN	NAN	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	NAN	1.0	1.0	1.0	1.0	NAN	NAN	0.997	1.0	1.0	1.0	NAN	NAN	1.0	1.0	1.0	1.0	0.957	1.0	1.0	NAN	1.0	1.0	1.0	1.0	NAN	1.0	1.0	1.0	NAN	1.0	1.0	0.996	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
chr6_151807681_151808365	1.0	1.0	1.0	1.0	1.0	NAN	1.0	1.0	1.0	0.996	1.0	NAN	1.0	1.0	1.0	1.0	1.0	1.0	1.0	NAN	1.0	1.0	1.0	1.0	1.0	NAN	NAN	1.0	1.0	NAN	1.0	1.0	1.0	1.0	NAN	1.0	1.0	1.0	NAN	NAN	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	NAN	1.0	1.0	1.0	1.0	NAN	NAN	0.997	1.0	1.0	1.0	NAN	NAN	1.0	1.0	1.0	1.0	0.957	1.0	1.0	NAN	1.0	1.0	1.0	1.0	NAN	1.0	1.0	1.0	NAN	1.0	1.0	0.996	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
chr6_151807842_151808365	1.0	1.0	1.0	1.0	1.0	NAN	1.0	1.0	1.0	0.996	1.0	NAN	1.0	1.0	1.0	1.0	1.0	1.0	1.0	NAN	1.0	1.0	1.0	1.0	1.0	NAN	NAN	1.0	1.0	NAN	1.0	1.0	1.0	1.0	NAN	1.0	1.0	1.0	NAN	NAN	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	NAN	1.0	1.0	1.0	1.0	NAN	NAN	0.997	1.0	1.0	1.0	NAN	NAN	1.0	1.0	1.0	1.0	0.957	1.0	1.0	NAN	1.0	1.0	1.0	1.0	NAN	1.0	1.0	1.0	NAN	1.0	1.0	0.996	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
chr6_151809106_151809272	0.017	0.0	0.0	0.03	0.009	NAN	0.0	0.0	0.006	0.013	0.017	NAN	0.013	0.043	0.009	0.01	0.02	0.0	0.02	NAN	0.0	0.008	0.023	0.004	0.0	NAN	NAN	0.005	0.0	NAN	0.005	0.0	0.013	0.014	NAN	0.0	0.018	0.019	NAN	NAN	0.042	0.007	0.0	0.024	0.022	0.0	0.019	0.068	NAN	0.026	0.012	0.012	0.027	NAN	NAN	0.015	0.0	0.007	0.059	NAN	NAN	0.005	0.026	0.0	0.006	0.0	0.048	0.014	NAN	0.0	0.022	0.036	0.019	NAN	0.025	0.018	0.0	NAN	0.0	0.034	0.028	0.052	0.0	0.0	0.0	0.0	0.0	0.072	0.025	0.013	0.017	0.0	0.024	0.035	0.0	0.0	0.06
chr6_151842596_151842788	1.0	1.0	1.0	1.0	0.996	1.0	1.0	1.0	0.998	0.995	1.0	NAN	1.0	1.0	0.995	0.992	0.997	0.993	0.987	NAN	0.995	1.0	1.0	0.99	0.98	NAN	NAN	0.995	0.997	NAN	0.998	1.0	0.995	0.995	0.857	0.996	0.988	0.997	NAN	NAN	0.992	0.992	1.0	0.995	0.99	0.963	1.0	0.981	NAN	1.0	1.0	0.994	1.0	NAN	1.0	0.996	1.0	0.998	1.0	1.0	0.958	0.993	0.988	0.995	0.998	0.977	1.0	0.999	1.0	0.989	1.0	0.998	0.997	NAN	1.0	0.996	0.996	1.0	1.0	1.0	1.0	1.0	0.996	0.981	0.991	0.99	1.0	1.0	0.995	1.0	0.994	1.0	1.0	0.986	0.995	1.0	0.991
chr6_151880654_151880772	0.988	1.0	1.0	1.0	0.993	1.0	1.0	1.0	0.998	0.987	0.995	NAN	0.986	1.0	0.998	0.985	0.992	0.989	0.98	NAN	1.0	0.991	0.987	0.996	1.0	NAN	NAN	0.998	0.995	NAN	1.0	1.0	0.989	1.0	1.0	1.0	1.0	0.997	NAN	NAN	0.996	0.991	1.0	1.0	0.997	1.0	1.0	0.997	NAN	1.0	0.991	1.0	0.975	NAN	1.0	0.997	0.996	1.0	1.0	1.0	0.966	0.99	0.994	1.0	0.987	1.0	1.0	0.996	1.0	0.991	0.994	1.0	0.998	NAN	0.997	0.998	1.0	1.0	1.0	1.0	0.994	0.989	1.0	0.988	0.991	0.993	1.0	0.994	0.995	1.0	0.998	0.985	1.0	0.997	0.996	1.0	1.0
chr6_151944172_151944509	0.993	NAN	1.0	0.996	0.989	1.0	0.996	1.0	0.996	0.996	0.994	NAN	0.996	0.981	0.995	0.993	0.997	0.992	0.987	NAN	0.942	0.996	1.0	0.997	0.989	NAN	NAN	0.996	0.985	NAN	0.994	0.994	0.992	0.994	1.0	1.0	1.0	0.996	NAN	NAN	0.986	0.985	1.0	1.0	0.997	1.0	0.996	0.996	NAN	0.991	0.998	0.991	1.0	NAN	1.0	0.996	0.995	0.997	1.0	NAN	1.0	0.994	0.997	0.99	0.998	1.0	1.0	0.993	1.0	0.989	1.0	0.989	0.995	NAN	0.99	0.992	1.0	1.0	1.0	1.0	0.994	0.99	0.991	1.0	0.992	0.992	1.0	0.989	0.997	1.0	0.994	0.994	0.97	0.996	0.996	1.0	0.993
